iter	Passed	Remaining
645	1421	779
646	1424	777
647	1426	775
648	1429	773
649	1431	770
650	1433	768
651	1435	766
652	1438	764
653	1440	762
654	1442	759
655	1444	757
656	1446	755
657	1448	753
658	1450	750
659	1453	748
660	1455	746
661	1457	744
662	1459	742
663	1461	739
664	1463	737
665	1465	735
666	1467	732
667	1470	730
668	1472	728
669	1475	726
670	1477	724
671	1479	722
672	1481	719
673	1483	717
674	1485	715
675	1488	713
676	1490	711
677	1492	708
678	1494	706
679	1496	704
680	1498	701
681	1500	699
682	1503	697
683	1505	695
684	1507	693
685	1509	691
686	1511	688
687	1513	686
688	1515	684
689	1517	681
690	1520	679
691	1522	677
692	1524	675
693	1526	672
694	1528	670
695	1530	668
696	1532	666
697	1534	664
698	1537	662
699	1539	659
700	1542	657
701	1544	655
702	1546	653
703	1549	651
704	1551	649
705	1553	647
706	1556	644
707	1558	642
708	1560	640
709	1562	638
710	1564	635
711	1567	633
712	1569	631
713	1571	629
714	1574	627
715	1576	625
716	1578	622
717	1580	620
718	1582	618
719	1585	616
720	1587	614
721	1589	611
722	1591	609
723	1593	607
724	1595	605
725	1598	603
726	1600	600
727	1602	598
728	1604	596
729	1606	594
730	1608	591
731	1610	589
732	1612	587
733	1614	585
734	1617	583
735	1619	580
736	1621	578
737	1623	576
738	1625	574
739	1627	571
740	1629	569
741	1632	567
742	1634	565
743	1637	563
744	1639	561
745	1641	558
746	1643	556
747	1645	554
748	1648	552
749	1651	550
750	1653	548
751	1656	546
752	1658	544
753	1660	541
754	1663	539
755	1665	537
756	1667	535
757	1669	533
758	1672	530
759	1674	528
760	1676	526
761	1679	524
762	1681	522
763	1683	520
764	1686	518
765	1688	515
766	1690	513
767	1692	511
768	1695	509
769	1697	507
770	1699	504
771	1702	502
772	1704	500
773	1706	498
774	1708	496
775	1711	493
776	1713	491
777	1715	489
778	1718	487
779	1720	485
780	1722	482
781	1724	480
782	1727	478
783	1729	476
784	1731	474
785	1733	472
786	1735	469
787	1737	467
788	1740	465
789	1742	463
790	1745	461
791	1747	458
792	1749	456
793	1751	454
794	1753	452
795	1756	450
796	1758	448
797	1761	445
798	1763	443
799	1766	441
800	1768	439
801	1770	437
802	1773	435
803	1776	432
804	1778	430
805	1780	428
806	1783	426
807	1785	424
808	1787	422
809	1790	419
810	1793	417
811	1795	415
812	1797	413
813	1800	411
814	1802	409
815	1804	406
816	1807	404
817	1809	402
818	1811	400
819	1814	398
820	1816	396
821	1818	393
822	1821	391
823	1823	389
824	1825	387
825	1828	385
826	1830	382
827	1832	380
828	1834	378
829	1836	376
830	1839	374
831	1841	371
832	1843	369
833	1846	367
834	1848	365
835	1850	363
836	1853	361
837	1856	358
838	1858	356
839	1860	354
840	1862	352
841	1865	349
842	1867	347
843	1870	345
844	1873	343
845	1876	341
846	1879	339
847	1881	337
848	1883	335
849	1886	332
850	1888	330
851	1891	328
852	1893	326
853	1896	324
854	1898	321
855	1900	319
856	1903	317
857	1905	315
858	1907	313
859	1910	310
860	1912	308
861	1914	306
862	1916	304
863	1919	302
864	1922	299
865	1924	297
866	1926	295
867	1928	293
868	1930	291
869	1933	288
870	1936	286
871	1938	284
872	1940	282
873	1942	280
874	1945	277
875	1947	275
876	1950	273
877	1952	271
878	1954	269
879	1957	266
880	1959	264
881	1961	262
882	1963	260
883	1966	258
884	1969	255
885	1971	253
886	1973	251
887	1976	249
888	1978	247
889	1980	244
890	1983	242
891	1986	240
892	1989	238
893	1991	236
894	1994	233
895	1996	231
896	1998	229
897	2001	227
898	2004	225
899	2006	222
900	2008	220
901	2010	218
902	2013	216
903	2016	214
904	2018	211
905	2020	209
906	2022	207
907	2025	205
908	2027	202
909	2029	200
910	2032	198
911	2034	196
912	2037	194
913	2039	191
914	2041	189
915	2044	187
916	2046	185
917	2048	183
918	2050	180
919	2052	178
920	2055	176
921	2057	174
922	2059	171
923	2061	169
924	2063	167
925	2066	165
926	2068	162
927	2070	160
928	2072	158
929	2074	156
930	2077	153
931	2079	151
932	2082	149
933	2084	147
934	2086	145
935	2089	142
936	2091	140
937	2093	138
938	2096	136
939	2098	133
940	2100	131
941	2103	129
942	2105	127
943	2107	125
944	2110	122
945	2112	120
946	2114	118
947	2116	116
948	2119	113
949	2121	111
950	2123	109
951	2125	107
952	2128	104
953	2130	102
954	2132	100
955	2134	98
956	2136	96
957	2138	93
958	2141	91
959	2143	89
960	2145	87
961	2147	84
962	2149	82
963	2151	80
964	2153	78
965	2155	75
966	2158	73
967	2160	71
968	2162	69
969	2164	66
970	2166	64
971	2168	62
972	2170	60
973	2172	57
974	2175	55
975	2177	53
976	2179	51
977	2181	49
978	2183	46
979	2185	44
980	2187	42
981	2189	40
982	2192	37
983	2194	35
984	2197	33
985	2199	31
986	2201	28
987	2203	26
988	2205	24
989	2207	22
990	2211	20
991	2213	17
992	2216	15
993	2218	13
994	2220	11
995	2223	8
996	2226	6
997	2228	4
998	2230	2
999	2233	0
